Name,Author,Category,Created,Date,Finished,Image,Related to References (Source),Tags,Type
Governing the Commons,Elinor Ostrom (https://www.notion.so/Elinor-Ostrom-c8db3a5c194d4889bb017281dd1e00f0?pvs=21),Economy,"February 22, 2023 12:41 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Governing%20the%20Commons%201d8ca576dd8c47e8bfcb2495bb24116a/9780521405997i.jpg,,,High culture
How many times per week should a muscle be trained to maximize muscle hypertrophy,,Biology,"August 22, 2023 11:39 PM",,No,,,,Study
How to Be a Motherfucking Pimp,Dazzle Razzle (https://www.notion.so/Dazzle-Razzle-b186df2385b64c5d95f478e13cfc02a1?pvs=21),"Psychopathology, Sociology","May 7, 2022 4:58 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/How%20to%20Be%20a%20Motherfucking%20Pimp%2010b03a976e1f42acab388badfa7175aa/image_(1).jpg,"You’d be surprised at how little you actually have to lie. It’s all about the approach and how you massage the details. (https://www.notion.so/You-d-be-surprised-at-how-little-you-actually-have-to-lie-It-s-all-about-the-approach-and-how-you-m-c64f91bdcbdc411c9ee581c4c1fdb3eb?pvs=21), I was prepared for a couple hours or arguments, intimations of violence and emotional blackmail in order for her to just go up there. (https://www.notion.so/I-was-prepared-for-a-couple-hours-or-arguments-intimations-of-violence-and-emotional-blackmail-in-o-378ff94f8d84437cbc05c7180d5813b6?pvs=21), You can reason with yourself however you like, but when you assume the role, the position, you’ve actually become it more than you think. Hire somebody off the street to be a waiter at a fancy restaurant. They will become a waiter and act like a total prick to the people who walk into the restaurant. People that are likely exactly like them. People who might even be their friends. And the waiter will look down his nose at those people like they’re not good enough to be served in the joint. Likewise, give a man a badge, tell him he’s a cop, and watch him instantly become an asshole. (https://www.notion.so/You-can-reason-with-yourself-however-you-like-but-when-you-assume-the-role-the-position-you-ve-ac-60e2e608cc3846b583fa47a5690c5fa8?pvs=21), I made her think that it could always be like this, this honeymoon period of two lovers on the run. (https://www.notion.so/I-made-her-think-that-it-could-always-be-like-this-this-honeymoon-period-of-two-lovers-on-the-run-4589441905bd40668de5bf9ad196430b?pvs=21), Why do hoes come to pimps? It is the need for an authority figure. He will serve as a point of order in her otherwise volatile life. He makes decisions for the ho. This doesn’t mean she doesn’t know how to do shit for herself, but a ho lives in a world of uncertainty. Most of the uncertainties a ho has are packed away in her fucked up childhood. Pimp Law is a certainty and, for whatever the fuck Pimp Law turns out to be in practice its chief function is as an injunction. It is firm. This doesn’t mean that when he tells her to do certain shit, or he beats her for some shit, that it’s right, but somewhere, deep down in the ho, she wants it, she needs it.  (https://www.notion.so/Why-do-hoes-come-to-pimps-It-is-the-need-for-an-authority-figure-He-will-serve-as-a-point-of-order-0613bf9f9ae745eb99ee2188bb14dd6c?pvs=21), Blaxploitation films like The Mack, Mac and Me, and Willie Dynamite served not only to popularize the pimp, but to establish the iconography of the Game. The result was a prepackaged system, abstracted from reality, commodified, and sold back to the street. In the wake of this cultural movement was founded a self-perpetuating system based on the fetishized image that, in its fixity, proved to be its very motive force. The Game became codified as is apparent in the pimp, his clothes, cars, and behavior. Where practices may have varied before, now there were common expectations established through a common understanding of what it meant to be in the Game. (https://www.notion.so/Blaxploitation-films-like-The-Mack-Mac-and-Me-and-Willie-Dynamite-served-not-only-to-popularize-th-9cfd6a3e03054eaa957155e386a961f5?pvs=21), When it’s time for a bitch to ho up, whether she’s a fresh turnout or a veteran, a ho must break herself. This means a ho has got to give up her cash to her pimp, she needs to buy into his game. (https://www.notion.so/When-it-s-time-for-a-bitch-to-ho-up-whether-she-s-a-fresh-turnout-or-a-veteran-a-ho-must-break-her-510ae1aae5ef4161ac6d69b800a5736c?pvs=21), Every ho has her own movie that she wants to star in, and the pimp gives her shot at the big lights. These ho-movies, as I will now call them are almost invariably about money, power, and respect. The ho sees the status of her pimp as a reflection of her own. As she continues to work in the present, her eye is on the future when they’ll (she and her pimp) will be made. Salvation is not only to be had, but a sense of social vengeance is also to be satisfied. In the ho-movie, she expects to, at a later date, sneer down on a contemptible and cold bourgeois society from a position both above and outside. Her sweeping glance from this Olympian height takes in both those that she shared either bedroom or elbowroom with as well as those that she feels have rejected her. It’s actually pretty sick and inevitably doomed to failure. (https://www.notion.so/Every-ho-has-her-own-movie-that-she-wants-to-star-in-and-the-pimp-gives-her-shot-at-the-big-lights--d06771f4226e4dfe895f180b2cb9ac3d?pvs=21), The difficult part is to keep the ho watching the movie while just keeping it shitty enough that she doesn’t leave in the middle of it. You see, if the movie is too good, she’ll run scared. So you’ve got to make sure the movie loops as well with no actual ending. Repetition is key. The ho can only circle around what could be considered happiness, as true happiness wouId be the end. (https://www.notion.so/The-difficult-part-is-to-keep-the-ho-watching-the-movie-while-just-keeping-it-shitty-enough-that-she-c100e8e6d6f74aa3a1d05634e28454a5?pvs=21), The way I see it, Bankroll was pimpin’ me. I was his bitch, and I got played like one. (https://www.notion.so/The-way-I-see-it-Bankroll-was-pimpin-me-I-was-his-bitch-and-I-got-played-like-one-66690e5393cd4b7993ea26088b516f35?pvs=21), To smooth things over I took her out for some new clothes and brought her to Red Lobster for dinner. There, in turn, I told her that she was too good for all those bitches. And I used the restaurant for some kind of analogy saying, There’re plenty of fish in the sea, justlike on this menu, but if you swim with Trippple Beam, we’ll school those fish. I’ll always have the claws, and you’ll have the tail.  (https://www.notion.so/To-smooth-things-over-I-took-her-out-for-some-new-clothes-and-brought-her-to-Red-Lobster-for-dinner--594eae3c1808493998c26644922a0d72?pvs=21), Trippple Beam had more money then I let Betty think I had. I kept taking her out to fancy places, I bought her all new shit. She still needed the medication, so Betty and l went down the drug store and we picked up her prescription. Shit was expensive, but I paid for it and told her she didn’t need to worry, that I am looking after her now. Betty and I stayed holed up in that motel for three weeks. She came to depend on me for everything. I kept buying her what she needed and taking her out to eat, but, in the middle of the third week, I started playing it like we were almost out of money. She started getting panicky, and she kept asking me what we were going to do. I told her not to worry. She loved Trippple Beam, and why not. I was doing all kinds of shit for her nobody else ever had. It went on like this, but at the end of the two weeks, I changed gears on her again. …A couple of days past the time to pay money back. We hadn’t really left the motel, as though danger Iurked at every corner. Having created an atmosphere of fear, it was time to lay a head trip on her. (https://www.notion.so/Trippple-Beam-had-more-money-then-I-let-Betty-think-I-had-I-kept-taking-her-out-to-fancy-places-I--3ecc245ea48a41979a242e1f6e745d3b?pvs=21), You don’t even have to do anything, I said. Let’s just go up there and you can check it out. No harm in that, right? I think that in the end it was curiosity that played a big role. I made it all out like there was no commitment, she could just case the scene. Get her there, get her talking to some tricks like it’s all some kind some kind of game. She’ll be thinking she’s there just to check it out, like it’s a social experiment or whatever, but that’s not what’s really going to go down. (https://www.notion.so/You-don-t-even-have-to-do-anything-I-said-Let-s-just-go-up-there-and-you-can-check-it-out-No-harm-9f5c8949623b4c39ab1b36ad79e0576f?pvs=21), The kiss melted her. At that moment I knew I really had a ho that would go to war for me. (https://www.notion.so/The-kiss-melted-her-At-that-moment-I-knew-I-really-had-a-ho-that-would-go-to-war-for-me-2c6556aed8c4427e98e00c26e77dd6a3?pvs=21), The reason why you didn’t notice her is because Daddy Diamond is a gorilla. That ho is scared of him. That ain’t no real pimpin’. That ho is there outta fear. Pimpin’ like that is how you get the heat down on you. (https://www.notion.so/The-reason-why-you-didn-t-notice-her-is-because-Daddy-Diamond-is-a-gorilla-That-ho-is-scared-of-him-5c18806486cf406da67966b18eb56968?pvs=21), Victimising women may be easy, but doing it well is an art. (https://www.notion.so/Victimising-women-may-be-easy-but-doing-it-well-is-an-art-3755aed1c40044069f3d5ca64a00a859?pvs=21), Lesbianism is always a pathological response to something. (https://www.notion.so/Lesbianism-is-always-a-pathological-response-to-something-d5374ba85b4a47b2af950d8d550a8d9d?pvs=21), There are a couple reason why a pimp needs the money before he’ll fuck her. First of all this cements the entrance into voluntary agreement. But unlike where the exchange of money serves to neutralise the relationship for the ho beyond service rendered with the trick, by paying the pimp, the ho has to keep working. The right for the ho to bask in the glory of Cock is not freely given, but must be earned. It is what keeps the pimp fixed firmly in his position as pimp while allowing her to keep the ho-movie running in her head. In this way the pimp doesn’t fall to the wayside like a trick, and the necessary distance between himself and the ho is maintained. (https://www.notion.so/There-are-a-couple-reason-why-a-pimp-needs-the-money-before-he-ll-fuck-her-First-of-all-this-cement-604ea19a9dad4c85ae44c565d8fb9ea1?pvs=21), I’d try and create a sense of my all-seeing-eye, so that hoes would feel they are always being watched. I’d lie to them about the CCTV feeds. But what I realized is that this was all unnecessary. When you win a ho over, and shove her full of Cock, she becomes a cheerful little robot. With Cock ensconced in her brain, she will self-police, seein the pimp forever in her mind’s eye. (https://www.notion.so/I-d-try-and-create-a-sense-of-my-all-seeing-eye-so-that-hoes-would-feel-they-are-always-being-watch-712b3c1d9a634e568f06ff50a93215a3?pvs=21)",,Semi-popular
In Search of a Human Self-Regulation System,William M. Kelley (https://www.notion.so/William-M-Kelley-9a077e7ccb68419f970478a23e2abd5f?pvs=21),Psychology,"August 22, 2023 11:44 PM",,No,,,,Study
"Internalizing objectification: Objectified individuals see themselves as less warm, competent, moral, and human",Steve Loughnan (https://www.notion.so/Steve-Loughnan-ff7afccdcadf4b6eaedb6c6ef6399a84?pvs=21),Psychology,"August 23, 2023 12:14 AM",,No,,,,Study
Internet Addiction,Kimberly S. Young (https://www.notion.so/Kimberly-S-Young-f10f516198b24b6fae23ff6c902c4471?pvs=21),Psychopathology,"August 22, 2023 11:40 PM",,No,,,,Study
Knowledge Assets,Max Boisot (https://www.notion.so/Max-Boisot-233a5975b8004e9c876447eb6d0e2741?pvs=21),Epistemology,"May 7, 2022 3:42 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Knowledge%20Assets%20370bac099f3548409f9c05d558530d8e/41rX4atjf2L._AC_SY580_.jpg,"Cells are information-processing systems. Yet the information-processing capacities of prokaryotic cells such as bacteria - these appeared on earth some 3.5 billion years ago - are far exceeded by those of eukaryotic cells, which made their appearance some 1.8 billion years later. Prokaryotic cells, unlike eukaryotic ones, do not have a distinct nucleus within which genetic material can be carried. Although the latter are about 1,000 times bigger than an average bacterium - itself a prokaryote - their complexity allowed them to perform a trick that bacteria cannot hope to match: to come together in mutually dependent colonies such as animals, plants, and fungi. (https://www.notion.so/Cells-are-information-processing-systems-Yet-the-information-processing-capacities-of-prokaryotic-c-db99ce3219764c4d9630fdfce63b0118?pvs=21)",,
Liquid Modernity,Zygmunt Bauman (https://www.notion.so/Zygmunt-Bauman-5320c073d4eb47adb48c780ddb22b2e4?pvs=21),Sociology,"May 7, 2022 3:42 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Liquid%20Modernity%20893cc26f4a694e6b806583049447e52d/41vc5C8zYnL._SY344_BO1204203200_.jpg,"Herbert Marcuse commented on move from New Deal to neo-librarlism: “Today we have to be liberated from a relatively well functioning, rich, powerful society. The problem we are facing is the need for liberation from a society which develops to a great extent the material and even cultural needs of man - a society which, to use a slogan, delivers the goods to an ever larger part of the population. And that implies, we are facing liberation from a society where liberation is aparently without a mass basis (few wish to be liberated). (https://www.notion.so/Herbert-Marcuse-commented-on-move-from-New-Deal-to-neo-librarlism-Today-we-have-to-be-liberated-fr-c29693081b1c4d368e64ed9a3c5e7650?pvs=21), “Reality” is created by the act of willing; it is the stubborn indifference of the world to my intention, the world’s reluctance to submit to my will, that rebounds in the perception of the world as “real” - contraining, limiting, and disobedient. (https://www.notion.so/Reality-is-created-by-the-act-of-willing-it-is-the-stubborn-indifference-of-the-world-to-my-intent-c359fc02945345648c982b9ed3b8e70e?pvs=21), Feeling free from constaint, free to act on one’s wishes, means reaching a balance between the wishes, the imagination, and the ability to act: one feels free so far as the imagination is not greater than one’s actual desires, while neither of the two reaches beyond the ability to act. When the balance is achieved “liberation” is a meaningless slogan, lacking motivational force. (https://www.notion.so/Feeling-free-from-constaint-free-to-act-on-one-s-wishes-means-reaching-a-balance-between-the-wishe-3d467d52810b4ffa9f39c0c96b263ced?pvs=21), Through the direct manipulation on the intentions - some sort of “brainwashing” - one could never put the “objective” ability to act to the test, let alone find out what they really are, and therefore would set the ambitions below the level of the “objective” freedom. One such issue was the possibility that what feels like freedom is not in fact freedom at all; that people may be satisfied with their lot even though that lot were far from being “objectively” satisfactory; that, living in the slavery, they feel free and so experience no urge to liberate themselves, thus forsaking of forfeiting the chance of becoming genuinely free. (https://www.notion.so/Through-the-direct-manipulation-on-the-intentions-some-sort-of-brainwashing-one-could-never-pu-934683e36bd8453da9e3829eb9c432dc?pvs=21), Elpenoros (a sailor turned into a hog) said to Oddyseus after he turned him back to human form: “I was so happy, I could wallow in the mud and bask in the sunshine, I could gobble and guzzle, grunt and squeak, and be free from meditations and doubts: ‘what am I to do, this or that?’ Why did you come?! To fling me back into that hateful life I led before?” (https://www.notion.so/Elpenoros-a-sailor-turned-into-a-hog-said-to-Oddyseus-after-he-turned-him-back-to-human-form-I-w-a4fd729b784d44cabbeff4c1783a6bbd?pvs=21), “mass culture” - a collective brain-damage caused by a “culture industry” planting a thirst for entertainment and amusement in the place which - as Matthew Arnold would say - should be occupied by “the passion for sweetness and light and the passion for making them prevail” (https://www.notion.so/mass-culture-a-collective-brain-damage-caused-by-a-culture-industry-planting-a-thirst-for-enter-a7791a0864024264a3790155e96a9318?pvs=21), Neoliberal definition of fulfillment says: “What filled an event with satisfaction is that YOU did it. With a substantial responsibility resting on YOUR shoulders. With a substantial amount of the good thing being YOUR contribution”. But “being thrown on one’s own resources” augurs mental torments and the agony of indecision, while “responsibility resing on one’s own shoulders” portends a paralysing fear of risk and failure without the right to appeal and seek redress. This cannot be what “freedom” really means. (https://www.notion.so/Neoliberal-definition-of-fulfillment-says-What-filled-an-event-with-satisfaction-is-that-YOU-did-i-4b6e1bd6edbc4baab43a5bb0990f7b06?pvs=21), The old controversy between Adam Smith and Dennis Diderot: While Smith warned against the degrading and stulityfying effects of working routine, Diderot did not believe routine work is degrading. (https://www.notion.so/The-old-controversy-between-Adam-Smith-and-Dennis-Diderot-While-Smith-warned-against-the-degrading--16f638c26783478aaf9935772e78e771?pvs=21), The society stopped questioning itself. This is a kind of society which no longer recognizes any alternative to itself and thereby feels absolved from the duty to examine, demonstrate, justify (let alone prove) the validity of its outspoken and tacit assumptions. (https://www.notion.so/The-society-stopped-questioning-itself-This-is-a-kind-of-society-which-no-longer-recognizes-any-alt-73002311e8d84d02b0aa67b85e0bfb92?pvs=21), We are perhaps more “critically predisposed”, much bolder and instransigent in our criticism than our ancestors managed to be in their daily lives, but our critique, so to speak, is “toothless”, unable to affect the agenda set for our “life-political” choices. The unprecedented freedom which our society offers its members has arrived, as Leo Strauss warned a long while ago, together with unprecedented impotence. (https://www.notion.so/We-are-perhaps-more-critically-predisposed-much-bolder-and-instransigent-in-our-criticism-than-ou-5dfa132c814644308fe65face888928f?pvs=21), George Orwell’s Nineteen Eighty-four was, at the time it was written, the fullest - and canonical - inventory of the fears and apprehensions which haunted modernity in its heavy stage (totalitarism).  (https://www.notion.so/George-Orwell-s-Nineteen-Eighty-four-was-at-the-time-it-was-written-the-fullest-and-canonical--407e3389778b4f66b75f0b4ec15c949a?pvs=21), One sometimes hears the opinion that contemporary society is inhospitable to critique. That opinion seems to miss the nature of the present change by assuming that the meaning of ‘hospitality’ itself stays invariant over successive historical phases. The point is, however, that contemporary society has given to the ‘hospitality to critique’ an entirely new sense and has invented a way to accommodate critical thought and action while remaining immune to the consequences of that accommodation, and so emerging unaffected and unscathed - reinforced rather than weakened - from the tests and trials of the open-house policy.  (https://www.notion.so/One-sometimes-hears-the-opinion-that-contemporary-society-is-inhospitable-to-critique-That-opinion--d7c0d09659c7496785248f2f89409632?pvs=21), Again in retrospect, we can say that critical theory was aimed at defusing and neutralizing, preferably turning off altogether, the totalitarian tendency of a society presumed to be burdened with totalistic proclivities endemically and permanently. Defending human autonomy, freedom of choice and self-assertion and the right to be and stay different was critical theory’s principal objective. (https://www.notion.so/Again-in-retrospect-we-can-say-that-critical-theory-was-aimed-at-defusing-and-neutralizing-prefera-44e0990f4d1245788061fb40cf0e4282?pvs=21), Being modern came to mean, as it means today, being unable to stop and even less able to stand still. We move and are bound to keep moving because of the impossibility of ever being gratified: the horizon of satisfaction, the finishing line of effort and the moment of restful self-congratulation move faster than the fastest of the runners. Fulfilment is always in the future, and achievement lose their attraction and satisfying potential at the moment of the attainment, if not before. Being modern means being perpetually ahead of oneself, in a state of constant transgression. One cannot be Mensch without being, or at least struggling be, Ubermensch. It also means having an identity which can exist only as an unfulfilled project. (https://www.notion.so/Being-modern-came-to-mean-as-it-means-today-being-unable-to-stop-and-even-less-able-to-stand-still-a87f2f7670664e3baa888adb59aef6b2?pvs=21), What used to be considered a job to be performed by human reason seen as the collective endowment and property of the human species has been fragmented ‘individualized’, assigned to individual guts and stamina, and left to individuals’ management and individually administered resources. This fateful departure has been reflected in the relocation of ethical/political discourse from the frame of the ‘just society’ to that of ‘human rights’, that is refocusing that discourse on the right of individuals to stay different and to pick and choose at will their own models of happiness and fitting life-style.  (https://www.notion.so/What-used-to-be-considered-a-job-to-be-performed-by-human-reason-seen-as-the-collective-endowment-an-240607607c704b93bb9fa1d00e506a6e?pvs=21), “No more salvation by society”, famously proclaimed the apostle of the new business spirit, Peter Drucker. “There is no such thing as society”, declared Margaret Thatcher yet more bluntly. Don’t look back, or up; look inside yourself, where your own cunning, will and power - all the tools that life’s improvement may require - are supposed to reside. (https://www.notion.so/No-more-salvation-by-society-famously-proclaimed-the-apostle-of-the-new-business-spirit-Peter-Dru-56b1267f55ef4f3b869a0e62e3cc7317?pvs=21), Modern society exists in its incessant activity of ‘individualizing’ as much as the activities of individuals consist in the daily reshaping and renegotiating of the network of mutual entanglements called ‘society’ Neither of the two partners stays put for long. And so the meaning of ‘individualization’ keeps changing, taking up ever new shapes - as the accumulated results of past history undermine inherited rules, set new behavioural precepts and turn out ever new stakes of the game. (https://www.notion.so/Modern-society-exists-in-its-incessant-activity-of-individualizing-as-much-as-the-activities-of-in-78309d492fd34185aa964b9c21a17322?pvs=21), ‘individualization’ consists of transforming human ‘identity’ from a ‘given’ into a ‘task’ and charging the actors with the responsibility for performing that task and for the consequences (also the side-effects) of their performance. Humans are no more ‘born into’ their identities. (The same cannot be said about princes or serfs of the pre-modern era; neither about the hereditary rich and hereditary poor of modern times.) Needing to become what one is - is the feature of modern living. (https://www.notion.so/individualization-consists-of-transforming-human-identity-from-a-given-into-a-task-and-chargi-75b3a90143e343a6bc7a3451fc46873e?pvs=21), It can be said in retrospect that the class division (or gender division for that matter) was a by-product of unequal access to resources required to render the self-assertion effective. People endowed with fewer resources, and thus with less choice, had to compensate for their individual weaknesses by the ‘power of numbers’ - by closing ranks and engaging in collective action. As Claus Offe pointed out, collective, class-oriented action came to those lower down the social ladder as naturally and matter-of-factly as the individual pursuit of their life-goals came to their employers. The deprivations ‘added up’, so to speak; and having added up, they congealed in ‘common interests’ and were seen as amenable solely to a collective remedy. (https://www.notion.so/It-can-be-said-in-retrospect-that-the-class-division-or-gender-division-for-that-matter-was-a-by-p-25d11d14f9e7416b92540611b926f361?pvs=21), The individual’s self-containment and self-sufficiency may be another illusion: that men and women have no one to blame for their frustrations and troubles does not mean, they can protect themselves against frustration using their own domestic appliances or pull themselves out of trouble. And yet, if they fall ill, it is assumed that this has happened because they were not resolute and industrious enough in following their health regime; if they stay unemployed, it is because they failed to learn the skills of gaining an interview, or because they did not try hard enough to find a job or because they are, purely and simply, work-shy; if they are not sure about their career prospects and agonize about their future, it is because they are not good enough at winning friends and influencing people and failed to learn and master, as they should have done, the arts of self-expression and impressing others. (https://www.notion.so/The-individual-s-self-containment-and-self-sufficiency-may-be-another-illusion-that-men-and-women-h-9f43362423af4779bf42b6025ed941af?pvs=21), Risks and contradictions go on being socially produced; it is just the duty and the necessity to cope with them which are being individualized.  (https://www.notion.so/Risks-and-contradictions-go-on-being-socially-produced-it-is-just-the-duty-and-the-necessity-to-cop-af6aecdf2b6c4466a168cfba6729f704?pvs=21), The sole advantage the company of other sufferers may bring is to reassure each one that fighting the troubles alone is what all the others do daily - and so to refresh and boost once more the flagging resolve to go on doing just that. One may perhaps also learn from other people’s experience how to survive the next round of ‘downsizing’, how to handle children who think they are adolescents and adolescents who refuse to become adults, how to get the fat and other unwelcome ‘foreign bodies’ ‘out of one’s system’, how to get rid addiction that is no longer pleasurable or partners who are no longer satisfying. But what one learns in the first place from the company of others is that the only service companies can render is advice about how to survive in one’s own irredeemable loneliness, and that everyone’s life is full of risks which need to be confronted and fought alone.  (https://www.notion.so/The-sole-advantage-the-company-of-other-sufferers-may-bring-is-to-reassure-each-one-that-fighting-th-919b188cf6f0491f9bc3fc349da6fc7c?pvs=21), Setting people free may make them indifferent. The individual is the citizen’s worst enemy, de Tocqueville suggested. The ‘citizen’ is a person inclined to seek her or his own welfare through the well-being of the city - while the individual tends to be lukewarm, sceptical or wary about ‘common cause’, ‘common good’, ‘good society’ or ‘just society’. Whatever individuals may do when they come together, and whatever other benefits their shared labours may bring, portends constraint on their freedom to pursue what they see fit for each separately, and will not help such pursuit anyway. (https://www.notion.so/Setting-people-free-may-make-them-indifferent-The-individual-is-the-citizen-s-worst-enemy-de-Tocqu-5eec3a5d3138409a9d10846ecaded89a?pvs=21), ‘Vigilance is degraded to the surveillance of goods, while general inrerest is no more than a syndicate of egoisms, engaging collective emotions and fear of the neighbour.’ Joel Roman urges the readers to seek the ‘renewed capacity for deciding together’ - now salient mostly for its absence. (https://www.notion.so/Vigilance-is-degraded-to-the-surveillance-of-goods-while-general-inrerest-is-no-more-than-a-syndica-313b0e1fe168472499008392cde9358c?pvs=21), The ‘public’ is colonized by the ‘private’. ‘public interest’ is not anymore the search for common causes and for the ways to negotiate the meaning of the common good and the principles of life in common. Instead it is reduced to curiosity about the private lives of public figures and the art of public life is narrowed to the public display of private affairs and public confessions of private sentiments (the more intimate the better). ‘Public issues’ which resist such reduction become all but incomprehensible. (https://www.notion.so/The-public-is-colonized-by-the-private-public-interest-is-not-anymore-the-search-for-common-c-f12673effdad4feba90d718bc214a912?pvs=21), Sharing intimacies, as Richard Sennett keeps pointing out, tends to be the preferred, perhaps the only remaining, method of ‘community building’. This building technique can only spawn ‘communities’ as fragile and short-lived as scattered and wandering emotions, shifting erratically from one target to another and drifting in the forever inconclusive search for a secure haven: communities of shared worries, shared anxieties or shared hatreds - but in each case ‘peg’ communities, a momentary gathering around a nail on which many solitary individuals hang their solitary individual fears. (https://www.notion.so/Sharing-intimacies-as-Richard-Sennett-keeps-pointing-out-tends-to-be-the-preferred-perhaps-the-on-7e9dceb6c5534ff3878714e6297d860d?pvs=21), Individualization brings to the ever-growing number of men and women an unprecedented freedom of experimenting - but it also brings the unprecedented task of coping with their consequences. The yawning gap between the right of self-assertion and the capacity to control the social settings which render such self-assertion feasible or unrealistic seems to be the main contradiction of fluid modernity. (https://www.notion.so/Individualization-brings-to-the-ever-growing-number-of-men-and-women-an-unprecedented-freedom-of-exp-e866706a35ac497197a706c6f008da45?pvs=21), Being an individual “de jure” means having no one to blame for one’s own misery, seeking the causes of one’s own defeats nowhere except in one’s own indolence and sloth, and looking for no remedies other than trying harder and harder still. Living daily with the risk of self-reprobation and self-contempt is not an easy matter. With the eyes focused on their own performances and thus diverted from the social space where the contradictions of individual existence are collectively produced, men and women are naturally tempted to reduce the complexity of their predicament in order to render the causes of misery intelligible and so tractable and amenable to remedial action. Not that they find ‘biographic solutions’ onerous and cumbersome: there are, simply, no effective ‘biographic solutions to systemic contradictions’, and so the dearth of workable solutions at their disposal needs to be compensated for by imaginary ones. (https://www.notion.so/Being-an-individual-de-jure-means-having-no-one-to-blame-for-one-s-own-misery-seeking-the-causes--b79435c426f6471caa73dd71227c5b96?pvs=21)",,High culture
Lolita,Vladimir Nabokov (https://www.notion.so/Vladimir-Nabokov-7a381c41767247a784665d2e26cfc393?pvs=21),"Ontology, Psychology","August 22, 2023 11:13 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Lolita%20ee41582f8dd14f0e9051d643b347286f/lolita-15.jpg,,,Fiction
Ludicrous: The Unvarnished Story of Tesla Motors,Edward Niedermeyer (https://www.notion.so/Edward-Niedermeyer-549d92984f334e8bb38e853ebc023fcc?pvs=21),Economy,"February 22, 2023 1:10 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Ludicrous%20The%20Unvarnished%20Story%20of%20Tesla%20Motors%20d81941b7dd5d4286b8f4aafdd9d98c84/81sE-N9E2ZS.jpg,,,Popular
Mathematical Statistics,,Mathematics,"February 22, 2023 1:37 PM",,No,,,,Textbook
Mindless: Why Smarter Machines are Making Dumber Humans,Simon Head (https://www.notion.so/Simon-Head-0a0ec1b2572446009e69adb33ef2c8e4?pvs=21),"Economy, Ontology, Sociology","February 22, 2023 1:18 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Mindless%20Why%20Smarter%20Machines%20are%20Making%20Dumber%20Hu%202fd88b9494d349cd8623c6cd851fe8ab/51AzgifDPTS.jpg,,,High culture
Model-based reasoning: a principled approach for software engineering,M. H. Lee (https://www.notion.so/M-H-Lee-fb5c5505c9e946879dfd62a938b0f450?pvs=21),"Epistemology, IT","August 22, 2023 11:46 PM",,No,,,,Study
More than words: the science of deepening love and connection,,Ontology,"May 29, 2022 12:47 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/More%20than%20words%20the%20science%20of%20deepening%20love%20and%20%20abac8143ae10432e884a09e50ca7197c/61psEHETGPL.jpg,,,Popular
Movie: Unbreakable,,,"May 7, 2022 3:42 PM",,No,,"The main hero show his unbeliveable strength to resist the biggest punishments, which infuriorate the bully who do everything to break him (https://www.notion.so/The-main-hero-show-his-unbeliveable-strength-to-resist-the-biggest-punishments-which-infuriorate-th-5671e5f9f5aa4281b97fd24b3de1d3d3?pvs=21)",,
Nausea,Jean-Paul Sartre (https://www.notion.so/Jean-Paul-Sartre-77aad197f1ce4e708e2ea85d1339e819?pvs=21),"Ontology, Psychopathology, Sociology","August 22, 2023 11:16 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Nausea%20cdaf264aa6fe4f939593745224bee04a/4e077b6a450698f4b63fd15c070f.jfif,,,High culture
Naven,Gregory Bateson (https://www.notion.so/Gregory-Bateson-78b3bb7e04ef4218a59585ecd9cb817c?pvs=21),Anthropology,"February 22, 2023 1:19 PM",,No,Sources%20fd19a5df72ea4bd8a0e7c115651f313d/Books%207c1a5739e26042f2834902dcce624a46/Naven%20ed36398cd1ec486b868e669a97a6e0bb/9780804705202-uk.jpg,,,High culture
Need Satisfaction and Well-Being: Testing Self-Determination Theory in Eight Cultures,A. Timothy Church (https://www.notion.so/A-Timothy-Church-6d8a3cc39d6e4843975bbcb806457095?pvs=21),"Anthropology, Psychology","August 22, 2023 11:56 PM",,No,,,,Study
Objective measurement of mood change induced by contemporary music,J. L. Smith (https://www.notion.so/J-L-Smith-e736efc8a0fd4e98a9737a3f03ff03d5?pvs=21),Psychology,"August 22, 2023 11:27 PM",,No,,,,Study
"On Loneliness, Narcissism, and Intimacy",H. Shmuel Erlich (https://www.notion.so/H-Shmuel-Erlich-dac8cec7e2f242928c32f4e455062f9c?pvs=21),Psychopathology,"August 23, 2023 12:13 AM",,No,,,,Study
